layer,position,p10,p50,p90,mean,std
4,32,0.43128242492675795,4.32396674156189,10.950994491577148,5.206447863048977,4.168616095328667
4,33,0.4930513381958008,4.315465927124023,10.864344024658203,5.163751516474618,4.0848827961980705
4,34,0.8880607604980468,4.401878356933594,11.184509086608886,5.384642597171996,4.2049781430353805
4,35,0.5484455108642579,4.239694595336914,11.035928726196289,5.175732588238186,4.149086035339363
4,36,0.3814994812011722,4.024297714233398,10.82675838470459,4.975032465325461,4.0442162784225015
4,37,0.5904417991638184,4.119697093963623,11.033127737045286,5.114039941628774,4.109106646624914
4,38,0.273089599609375,4.176763534545898,10.864786052703858,5.043002748754289,4.087910120635967
4,39,0.41804103851318375,4.215178489685059,11.081365585327148,5.151636635462443,4.170113211339703
5,0,17.11843423843384,38.26844525337219,62.9083134651184,46.708481200933456,36.04781833759254
5,1,2.5578551292419434,10.284263610839844,20.22771644592285,12.001795731385549,10.501143363091595
5,2,3.3601348876953128,10.17522144317627,20.05036811828613,12.167927224636077,10.14803854655354
5,3,3.0339596748352053,9.64921760559082,18.960825538635245,11.551964585251278,10.018178813301411
5,4,2.8816248893737795,8.707939147949219,17.48100337982177,10.655050134526359,9.296265418186527
5,5,2.6449657917022704,8.283955097198486,17.294666671752925,10.23287526567777,9.083719246998726
5,6,2.7203803062438965,7.991001605987549,16.150367164611815,9.80627297507392,8.604790497265443
5,7,2.700306749343872,7.900638580322266,16.804022407531736,9.82336355275578,8.753665258784443
5,8,2.7195539474487305,7.6400604248046875,16.245207786560055,9.552209991481568,8.25870146240803
5,9,2.4897388935089113,7.377744674682617,16.44420051574707,9.347129876216252,8.298093216840874
5,10,2.530815267562866,7.181798458099365,15.796027946472167,9.049072260856628,7.8877359966598215
5,11,2.4709283828735353,6.8553361892700195,15.77251682281494,8.81801490439309,7.791485152060345
5,12,2.2922657012939456,6.650293827056885,15.112911796569824,8.446945283942753,7.507187645958856
5,13,2.1134639739990235,6.22542667388916,14.398471832275389,8.026700748337639,7.228761766026488
5,14,2.2057796478271485,6.199739933013916,13.433202934265136,7.82891135401196,6.900632723578427
5,15,2.0336457252502447,5.90998649597168,13.118995094299315,7.585403732856115,6.941181833027831
5,16,2.0674209594726562,5.9151716232299805,13.521842765808106,7.650280252827538,7.0067103160038915
5,17,1.8418493270874026,5.584173202514648,12.966515922546384,7.151013261874517,6.52852047916962
5,18,1.8297185897827148,5.37468147277832,12.904443550109864,7.0184196962250605,6.530557971516652
5,19,1.5684447288513184,4.939562797546387,11.979242706298823,6.524958937830395,6.202371360880503
5,20,1.7132448196411134,5.080139636993408,12.128621292114257,6.647708398368623,6.235867696555185
5,21,1.3262428283691408,4.72150182723999,11.912428283691405,6.2760020852088925,6.0752115898189265
5,22,1.4161015510559083,4.6674394607543945,11.319314575195312,6.130769080056084,5.945575225529462
5,23,1.298141670227051,4.433761119842529,11.64969253540039,5.999542373948627,5.935996267975197
5,24,1.0859559059143067,4.271186828613281,11.016994285583495,5.789734907415178,5.998701945447772
5,25,1.1035636901855468,4.287012100219727,10.781407165527343,5.774089337719811,5.745937407436939
5,26,0.9617706298828125,4.198186874389648,11.36961402893066,5.768401000234816,6.052412409877604
5,27,1.1559070587158204,4.315567493438721,11.036173439025879,5.879535301393933,6.06130473530584
5,28,0.9523681640625,4.257164478302002,11.199541854858397,5.817502385112975,6.028723691925416
5,29,1.01943416595459,4.2924041748046875,11.201710128784178,5.828840543826421,5.981986157022352
5,30,0.9257328033447266,4.1086297035217285,10.434103393554688,5.503645369344287,5.630679900700704
5,31,0.7727939605712891,3.887606620788574,10.436192321777343,5.408695445193184,5.728309370119656
5,32,0.7246581077575687,3.8758983612060547,10.264692497253417,5.3900599039925465,5.91953013393152
5,33,0.7100388526916506,3.831721305847168,10.555965614318847,5.409476461013158,5.924940338756115
5,34,0.8865131378173831,3.9516072273254395,10.68320159912109,5.537210232814153,6.012728951115678
5,35,0.7817661285400391,3.7697458267211914,10.529025077819822,5.34917040348053,5.8320219053646705
5,36,0.4581781387329102,3.5683135986328125,10.493608093261718,5.037874806722005,5.629439862813371
5,37,0.3366458892822267,3.5447425842285156,10.42484188079834,5.134150648381975,5.961155974888451
5,38,0.5380205154418947,3.71943998336792,10.501312446594238,5.239782661729389,5.767280839704319
5,39,0.5420865058898927,3.962228775024414,11.068341827392578,5.571085560321808,6.301603353044907
6,0,5.64492506980896,17.75786828994751,23.227710056304932,15.843774415221478,6.461409532656821
6,1,1.168186902999878,5.240891456604004,8.685307216644286,5.051200487746133,2.993685071637835
6,2,1.0948627471923829,4.524193286895752,7.638937950134277,4.397173605991735,2.5241054244388312
6,3,1.1449504613876342,4.442208766937256,7.2670135498046875,4.29904776563247,2.393766785922181
6,4,1.0344010829925538,3.881960868835449,6.935006141662598,3.9053067946765156,2.3265571558271665
6,5,1.0617094755172731,3.799614191055298,6.848239517211914,3.861711478498247,2.289984718144414
6,6,1.035633945465088,3.607785224914551,6.732281303405761,3.7304954813917477,2.247461146476314
6,7,1.0785292625427247,3.6480140686035156,6.768896198272705,3.7721692236430115,2.276939496337954
6,8,1.0172972440719605,3.443202018737793,6.795863914489746,3.7026910882525974,2.3184677531739664
6,9,0.9966443061828614,3.335557460784912,6.672598266601561,3.6382461457947888,2.2923162971491156
6,10,0.9784041404724121,3.2880730628967285,6.726698970794677,3.618735229290194,2.2920723689244102
6,11,0.9346224308013916,3.156161308288574,6.485527992248535,3.4793302281035317,2.2509479928728005
6,12,0.9397555112838745,3.1018331050872803,6.438298416137695,3.448204358998272,2.210602618251972
6,13,0.9027272939682007,2.905691146850586,6.186604928970336,3.301635080244806,2.1986044903416997
6,14,0.8937710762023927,2.9255619049072266,6.041627597808837,3.2507150866919092,2.142002933816218
6,15,0.8412210941314697,2.796872854232788,6.0261979579925535,3.17212401110265,2.1687337525745374
6,16,0.8412695169448853,2.798006534576416,5.90902304649353,3.145210769424836,2.098785101856803
6,17,0.8290958166122436,2.6623549461364746,5.914755153656004,3.0559396583504146,2.108821679969323
